,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Sean McKeon,,,0.0,12.7,3.1,,,,,,,,,,,,,,
Tre' McKitty,,10.5,17.2,,,,,,,,,,,,,,,,
Zach Miller,,,,,54.5,48.5,14.2,,,,107.9,119.6,55.6,,,,,,
James Mitchell,,,28.3,,,,,,,,,,,,,,,,
Foster Moreau,,68.4,33.0,85.30000000000001,87.2,,,,,,,,,,,,,,
David Morgan,,,1.4,25.5,8.6,,,,,,,,,,,,,,
Quintin Morris,,,22.4,,,,,,,,,,,,,,,,
Johnny Mundt,,,0.0,1.5,6.6,9.3,1.9,39.0,,,,,,,,,,,
Troy Niklas,,6.800000000000001,19.3,1.0,30.200000000000003,,,,,,,,,,,,,,
David Njoku,94.69999999999999,143.9,15.100000000000001,52.3,107.6,144.0,,,,,,,,,,,,,
Nick O'Leary,,,4.7,20.4,66.2,22.6,29.9,,,,,,,,,,,,
James O'Shaughnessy,,,14.700000000000001,1.9,34.9,45.400000000000006,41.3,54.2,48.400000000000006,,,,,,,,,,
Chigoziem Okonkwo,,,95.2,,,,,,,,,,,,,,,,
Albert Okwuegbunam,,29.1,78.0,25.5,,,,,,,,,,,,,,,
Josh Oliver,,4.5,,15.600000000000001,40.9,,,,,,,,,,,,,,
Greg Olsen,,90.1,141.4,169.2,111.4,129.0,183.3,190.60000000000002,220.8,229.4,205.3,42.1,80.1,123.7,53.900000000000006,,,,
Cade Otton,,,93.1,,,,,,,,,,,,,,,,
Donald Parham,,,43.9,57.0,29.0,,,,,,,,,,,,,,
Colby Parkinson,3.6,8.3,69.2,,,,,,,,,,,,,,,,
Niles Paul,,5.2,29.1,9.100000000000001,95.7,,4.7,22.799999999999997,19.5,,,,,,,,,,
Logan Paulsen,,,9.0,24.8,61.8,72.7,26.8,,4.5,0.0,24.1,,,,,,,,
Kyle Pitts,176.60000000000002,75.6,,,,,,,,,,,,,,,,,
MyCole Pruitt,,,18.9,3.3,0.0,25.200000000000003,21.0,21.9,46.5,55.0,,,,,,,,,
Teagan Quitoriano,,30.3,,,,,,,,,,,,,,,,,
Jordan Reed,,,114.7,96.5,248.2,170.60000000000002,60.1,121.80000000000001,,73.1,,,,,,,,,
Giovanni Ricci,,,,,0.0,18.0,,,,,,,,,,,,,
Michael Roberts,,,8.600000000000001,37.0,,,,,,,,,,,,,,,
Richard Rodgers,,54.5,158.1,69.1,34.0,1.7000000000000002,0.0,70.5,3.1,1.4,,,,,,,,,
Armani Rogers,,,,,14.0,,,,,,,,,,,,,,
Jeremy Ruckert,,1.8,,,,,,,,,,,,,,,,,
Kyle Rudolph,,68.9,156.3,79.3,59.1,128.5,209.0,158.2,151.4,111.7,67.4,57.7,11.8,,,,,,
Drew Sample,,,8.0,80.9,19.1,1.8,,,,,,,,,,,,,
Eric Saubert,,,0.0,9.8,4.1,4.6,18.7,35.8,,,,,,,,,,,
Mason Schreck,,,,,0.0,0.0,0.0,0.0,2.6,,,,,,,,,,
Dalton Schultz,,23.6,1.6,148.5,206.8,144.7,,,,,,,,,,,,,
Austin Seferian-Jenkins,,55.1,78.80000000000001,34.4,103.7,26.0,,,,,,,,,,,,,
Dion Sims,,15.2,64.4,36.7,75.6,39.0,2.9,,,,,,,,,,,,
Stone Smartt,,,,5.7,,,,,,,,,,,,,,,
Jonnu Smith,,45.7,63.8,104.7,140.20000000000002,67.4,52.0,,,,,,,,,,,,
Irv Smith Jr.,79.1,96.5,,55.2,,,,,,,,,,,,,,,
Lee Smith,,,,5.1,17.3,12.8,17.2,25.0,8.9,15.600000000000001,35.3,13.1,19.5,21.5,,,,,
Durham Smythe,,,11.0,13.5,58.8,70.0,40.0,,,,,,,,,,,,
Jeremy Sprinkle,,,9.3,15.100000000000001,56.1,1.6,6.1,,,,,,,,,,,,
Luke Stocker,,,21.200000000000003,38.5,0.0,11.100000000000001,21.1,7.300000000000001,13.0,43.5,13.3,13.3,3.2,,,,,,
Jack Stoll,,,6.2,23.3,,,,,,,,,,,,,,,
Stephen Sullivan,,,,0.0,0.0,6.6000000000000005,,,,,,,,,,,,,
Phillip Supernaw,,,0.0,6.0,6.2,10.2,13.9,,,,,,,,,,,,
Geoff Swaim,,1.0,12.9,4.5,56.2,19.5,23.3,70.0,23.8,,,,,,,,,,
Tommy Sweeney,,,,19.4,,19.4,1.7000000000000002,,,,,,,,,,,,
Randall Telfer,,,,2.4,6.6,,,,,,,,,,,,,,
Logan Thomas,,,9.24,,,19.7,20.3,39.3,176.62,55.6,77.30000000000001,,,,,,,,
Ian Thomas,,81.30000000000001,35.6,40.5,36.8,40.7,,,,,,,,,,,,,
Julius Thomas,,,1.5,0.0,215.8,163.9,121.5,82.1,97.80000000000001,,,,,,,,,,
Noah Togiai,,,0.0,0.0,0.0,,,,,,,,,,,,,,
Levine Toilolo,,28.5,66.8,11.4,51.400000000000006,30.200000000000003,53.3,3.0,9.600000000000001,,,,,,,,,,
Eric Tomlinson,,,,0.0,26.1,15.2,1.1,0.0,1.7000000000000002,28.9,,,,,,,,,
Jake Tonges,,,0.0,,,,,,,,,,,,,,,,
Robert Tonyan,,,,17.7,26.0,176.6,50.400000000000006,112.0,,,,,,,,,,,
Adam Trautman,,,38.1,65.3,44.7,,,,,,,,,,,,,,
Austin Traylor,,,,18.0,,,,,,,,,,,,,,,
Tommy Tremble,51.1,54.400000000000006,,,,,,,,,,,,,,,,,
Cole Turner,,4.300000000000001,,,,,,,,,,,,,,,,,
Will Tye,,,,106.4,93.5,7.800000000000001,,,,,,,,,,,,,
C.J. Uzomah,,1.4,54.400000000000006,25.200000000000003,104.9,63.2,22.700000000000003,128.3,56.2,,,,,,,,,,
Nick Vannett,,,6.2,30.4,73.9,33.6,29.5,28.3,11.5,,,,,,,,,,
Clive Walford,,,,78.9,86.9,17.0,0.0,10.1,,,,,,,,,,,
Delanie Walker,,5.0,44.400000000000006,30.2,47.699999999999996,63.9,57.3,73.4,153.1,176.0,242.4,188.1,178.5,9.2,54.5,,,,
Darren Waller,,,3.8,30.5,,15.6,223.0,280.6,133.5,84.80000000000001,,,,,,,,,
Ben Watson,,,,3.6,97.1,131.3,112.0,54.900000000000006,99.4,162.20000000000002,90.0,117.1,53.6,45.6,192.5,,137.2,87.0,34.3
Trevon Wesco,,,,6.9,1.5,6.5,4.6,,,,,,,,,,,,
Mitchell Wilcox,,,,,4.6,36.9,,,,,,,,,,,,,
Maxx Williams,64.8,0.0,30.200000000000003,37.1,41.2,24.200000000000003,41.3,4.8,,,,,,,,,,,
Luke Willson,,,53.2,76.2,44.3,39.9,54.3,21.700000000000003,15.9,2.2,,,,,,,,,
Jason Witten,75.7,221.0,177.7,145.4,252.5,201.88,209.0,248.2,203.2,231.9,206.10000000000002,164.3,166.3,154.3,149.0,,139.9,31.9,
Charlie Woerner,,,6.6,10.2,0.0,,,,,,,,,,,,,,
Jelani Woods,,,,74.2,,,,,,,,,,,,,,,
Brock Wright,,,35.7,63.6,,,,,,,,,,,,,,,
Shane Zylstra,,,,,6.4,41.0,,,,,,,,,,,,,
